image_id,x,y,orient,x1,x2,x3,x4,y1,y2,y3,y4,class,FLAG1,FLAG2,test_fold
7,251.998494,1011.662328,-1.214577,246.0,266.0,255.0,241.0,998.0,1004.0,1024.0,1021.0,4,1,0,8
8,1000.250672,96.717727,-1.348266,996.0,1020.0,1005.0,980.0,59.0,66.0,134.0,128.0,5,1,0,2
9,126.496872,101.118906,-1.426642,121.0,141.0,133.0,111.0,69.0,71.0,134.0,130.0,5,1,0,5
9,155.5743,73.1105,1.6002,147.0,163.0,165.0,148.0,98.0,99.0,48.0,47.0,11,1,1,5
9,217.918079,125.986282,-1.559433,210.0,226.0,225.0,210.0,104.0,104.0,149.0,147.0,10,1,0,5
9,238.015714,126.627695,-1.603043,227.0,247.0,247.0,230.0,103.0,104.0,150.0,150.0,10,1,0,5
10,841.882932,167.432166,0.0,822.0,855.0,864.0,826.0,154.0,152.0,183.0,181.0,4,1,0,0
10,766.956369,84.411036,3.127509,749.0,785.0,784.0,749.0,72.0,71.0,97.0,97.0,4,1,0,0
10,923.617008,90.630573,-2.860755,907.0,914.0,939.0,934.0,86.0,103.0,95.0,79.0,4,1,0,0
10,526.531737,219.2142,0.244979,489.0,570.0,563.0,484.0,199.0,218.0,240.0,219.0,2,1,0,0
10,497.829094,247.490566,0.157622,461.0,537.0,534.0,459.0,230.0,243.0,264.0,253.0,5,1,0,0
10,659.956402,283.01364,1.022247,659.0,670.0,661.0,650.0,273.0,290.0,294.0,275.0,1,1,0,0
10,800.43897,294.344942,-1.585947,790.0,810.0,812.0,789.0,278.0,278.0,312.0,310.0,4,1,0,0
10,937.27385,342.940507,-3.0954713,920.0,955.0,952.0,922.0,332.0,332.0,355.0,352.0,4,1,0,0
10,920.933236,300.881188,3.141592,902.0,938.0,940.0,904.0,290.0,290.0,312.0,312.0,4,1,0,0
11,77.827447,490.347957,1.578548,67.0,89.0,90.0,65.0,458.0,458.0,523.0,522.0,2,1,0,8
11,26.719134,420.430265,1.7016022,14.0,43.0,42.0,8.0,403.0,403.0,441.0,436.0,10,1,0,8
11,300.910073,199.748743,2.861293,283.0,315.0,320.0,286.0,197.0,188.0,202.0,212.0,23,1,0,8
11,331.689057,296.835537,3.000836,306.0,354.0,358.0,309.0,291.0,285.0,302.0,309.0,11,1,0,8
11,433.145707,326.664553,2.257748,406.0,424.0,461.0,442.0,343.0,355.0,310.0,299.0,2,1,0,8
11,536.30229,110.506368,2.616226,549.0,558.0,521.0,517.0,94.0,107.0,126.0,115.0,11,1,0,8
11,676.707655,96.82682,2.811109,639.0,646.0,715.0,707.0,100.0,117.0,94.0,76.0,2,1,0,8
11,793.933785,83.717253,2.74743,762.0,769.0,825.0,819.0,88.0,103.0,79.0,65.0,2,1,0,8
12,908.974584,196.519482,1.443824,899.0,913.0,920.0,904.0,173.0,173.0,219.0,221.0,11,1,0,0
13,427.323973,134.929755,0.337878,411.0,450.0,442.0,407.0,122.0,134.0,149.0,135.0,1,1,0,3
13,339.81654,158.660585,-2.43468,324.0,370.0,358.0,308.0,130.0,171.0,187.0,146.0,2,1,0,3
14,380.578162,637.964503,-0.288055,359.0,398.0,404.0,362.0,638.0,625.0,639.0,650.0,1,1,0,6
15,447.240219,613.824268,-0.322697,523.0,530.0,375.0,361.0,579.0,596.0,651.0,630.0,2,1,0,
16,107.531434,683.089852,2.840247,87.0,123.0,129.0,91.0,681.0,667.0,687.0,696.0,1,1,0,7
17,847.188047,815.296068,-0.343806,823.0,864.0,871.0,831.0,815.0,801.0,815.0,830.0,11,1,0,2
18,624.074123,869.332736,-0.285329,602.0,640.0,646.0,609.0,869.0,857.0,871.0,881.0,1,1,0,7
19,48.927562,49.518382,-0.299532,11.0,79.0,87.0,19.0,51.0,29.0,49.0,69.0,5,1,0,2
19,99.541892,31.734969,-0.238936,77.0,115.0,123.0,83.0,29.0,20.0,34.0,44.0,1,1,1,2
20,307.252841,291.925863,-0.340097,288.0,321.0,326.0,294.0,290.0,281.0,291.0,305.0,1,1,0,5
21,768.198462,121.662064,3.101292,738.0,797.0,801.0,736.0,113.0,109.0,132.0,133.0,2,1,0,5
21,766.644028,30.822079,3.129545,747.0,787.0,788.0,745.0,22.0,22.0,39.0,40.0,1,1,0,5
22,65.466823,565.47638,3.141592,41.0,89.0,90.0,41.0,557.0,556.0,575.0,574.0,11,1,0,8
25,153.633738,706.933528,1.55781,144.0,163.0,163.0,145.0,688.0,688.0,727.0,726.0,1,1,0,0
25,403.462691,706.560649,-1.631328,392.0,412.0,416.0,394.0,683.0,681.0,731.0,732.0,9,1,0,0
25,470.12476,833.213055,0.027579,433.0,507.0,506.0,435.0,821.0,824.0,844.0,843.0,2,1,0,0
25,503.870313,1001.940818,3.122547,478.0,530.0,530.0,477.0,994.0,991.0,1012.0,1011.0,2,1,0,0
25,620.767891,772.806652,-2.991566,603.0,644.0,640.0,595.0,762.0,767.0,785.0,777.0,1,1,0,0
25,621.327209,710.908732,0.047135,595.0,648.0,647.0,594.0,699.0,703.0,721.0,720.0,2,1,0,0
25,516.354562,705.769083,-1.581665,507.0,525.0,525.0,508.0,683.0,683.0,729.0,729.0,9,1,0,0
25,806.925083,88.685892,0.065695,788.0,827.0,825.0,788.0,76.0,80.0,100.0,99.0,5,1,1,0
25,807.670841,121.872126,0.051901,790.0,827.0,827.0,787.0,111.0,112.0,134.0,131.0,5,1,1,0
26,221.821855,280.452693,-0.1942,168.0,262.0,273.0,184.0,260.0,241.0,302.0,319.0,31,1,0,8
27,34.372817,220.59854,-1.496308,26.0,45.0,39.0,27.0,203.0,204.0,240.0,234.0,1,1,0,0
27,34.811641,269.966265,-1.558297,26.0,44.0,43.0,26.0,249.0,251.0,293.0,287.0,1,1,0,0
27,296.789702,278.962162,-1.501463,291.0,305.0,304.0,287.0,261.0,261.0,298.0,296.0,1,1,0,0
27,508.701971,296.267526,-1.48214,499.0,524.0,518.0,493.0,262.0,263.0,332.0,328.0,23,1,0,0
27,702.662277,362.529983,-3.121595,679.0,729.0,726.0,676.0,352.0,353.0,373.0,372.0,11,1,0,0
27,695.881282,409.818585,-3.125594,665.0,726.0,728.0,664.0,401.0,402.0,419.0,418.0,11,1,0,0
27,630.496473,549.145276,-3.110353,608.0,654.0,655.0,605.0,539.0,541.0,559.0,558.0,11,1,0,0
27,851.225057,552.436458,0.934288,846.0,872.0,856.0,831.0,530.0,563.0,577.0,541.0,1,1,0,0
27,903.664551,427.590966,-3.125594,876.0,930.0,928.0,880.0,420.0,419.0,435.0,435.0,23,1,1,0
27,879.748631,504.824029,0.0,856.0,905.0,904.0,854.0,496.0,499.0,513.0,512.0,11,1,0,0
27,1021.208818,79.268948,1.514253,1013.0,1028.0,1029.0,1015.0,66.0,66.0,93.0,92.0,1,0,1,0
27,824.615567,712.934802,1.064846,822.0,842.0,828.0,807.0,691.0,727.0,736.0,698.0,11,1,0,0
27,590.305992,774.150781,-0.629645,603.0,612.0,578.0,567.0,754.0,769.0,794.0,780.0,9,1,0,0
27,231.760365,557.478093,0.079478,205.0,262.0,258.0,202.0,546.0,548.0,571.0,564.0,5,1,0,0
27,111.522528,505.696835,0.151605,131.0,128.0,92.0,95.0,501.0,516.0,510.0,496.0,1,1,0,0
27,101.210159,674.205336,0.72547,94.0,120.0,109.0,82.0,658.0,681.0,691.0,667.0,1,1,0,0
29,551.056469,44.321134,-1.524852,544.0,560.0,559.0,541.0,22.0,23.0,66.0,66.0,1,1,0,8
30,378.29456,82.20098,-3.130604,355.0,401.0,401.0,356.0,74.0,74.0,91.0,90.0,11,1,0,
30,330.338917,133.286003,-0.343806,345.0,356.0,315.0,305.0,118.0,134.0,148.0,133.0,11,1,1,
30,455.629392,52.936201,1.597457,449.0,463.0,463.0,447.0,34.0,34.0,72.0,71.0,1,1,0,
30,595.175964,538.744752,0.0,577.0,613.0,613.0,577.0,532.0,531.0,546.0,545.0,1,1,0,
30,279.823374,787.892212,2.990846,257.0,299.0,300.0,263.0,784.0,777.0,793.0,798.0,1,1,0,
30,336.659691,778.92696,2.761086,313.0,354.0,359.0,320.0,780.0,764.0,778.0,794.0,1,1,0,
31,276.401537,849.108823,3.129965,254.0,298.0,298.0,256.0,841.0,839.0,859.0,858.0,11,1,0,
32,322.34202,341.972662,-1.601556,314.0,330.0,333.0,313.0,326.0,326.0,357.0,360.0,1,1,0,4
32,312.42067,643.529481,1.391879,299.0,317.0,325.0,308.0,622.0,618.0,665.0,669.0,11,1,0,4
32,70.914127,721.072663,3.052089,51.0,89.0,92.0,52.0,716.0,712.0,727.0,730.0,1,1,0,4
33,229.028134,762.417627,1.56355,214.0,244.0,245.0,214.0,728.0,728.0,798.0,796.0,5,1,0,9
33,496.390488,521.448994,-0.132552,449.0,538.0,545.0,454.0,516.0,503.0,528.0,539.0,5,1,0,9
33,488.935773,553.282643,-0.141897,452.0,522.0,529.0,452.0,546.0,539.0,557.0,571.0,5,1,0,9
33,602.678973,899.180193,1.570796,594.0,611.0,611.0,594.0,883.0,883.0,915.0,915.0,1,1,0,9
33,626.251991,893.941744,-1.602365,615.0,636.0,637.0,617.0,871.0,869.0,916.0,919.0,1,1,0,9
33,998.471168,906.770649,-1.4791,990.0,1011.0,1009.0,984.0,884.0,886.0,930.0,927.0,1,1,1,9
33,1024.42,921.219,-1.570789,1015.0,1031.0,1034.0,1014.0,897.0,897.0,944.0,944.0,1,0,1,9
35,52.281258,649.574958,2.797787,27.0,69.0,76.0,37.0,650.0,636.0,649.0,664.0,11,1,0,1
35,63.852489,672.78974,2.806856,43.0,78.0,84.0,50.0,673.0,660.0,673.0,684.0,1,1,0,1
35,509.526665,333.809476,-0.366256,488.0,524.0,532.0,495.0,332.0,319.0,334.0,349.0,5,1,0,1
35,698.013553,624.311922,1.426871,690.0,701.0,708.0,693.0,608.0,606.0,641.0,642.0,1,1,0,1
36,391.178586,206.002119,1.435269,381.0,397.0,403.0,384.0,190.0,189.0,222.0,223.0,1,1,0,6
36,459.580557,815.680383,1.379612,448.0,462.0,473.0,455.0,793.0,792.0,837.0,841.0,11,1,0,6
37,170.457357,13.667178,-0.291457,186.0,190.0,155.0,151.0,2.0,15.0,24.0,14.0,1,1,0,2
37,233.197266,312.108084,-1.520838,225.0,244.0,243.0,220.0,282.0,282.0,342.0,342.0,10,1,1,2
37,230.869416,240.692962,-1.64958,220.0,239.0,242.0,223.0,222.0,221.0,260.0,259.0,23,1,0,2
37,985.09282,692.946844,-1.3633,982.0,996.0,990.0,972.0,672.0,676.0,713.0,711.0,1,1,0,2
37,1006.708573,697.935095,-1.202666,992.0,1008.0,1020.0,1007.0,712.0,719.0,683.0,678.0,1,1,0,2
37,876.147177,878.09903,1.658804,870.0,887.0,883.0,865.0,852.0,853.0,904.0,903.0,11,1,0,2
37,406.35225,856.894778,-0.284074,369.0,440.0,441.0,375.0,858.0,837.0,857.0,876.0,23,1,1,2
37,382.408647,892.643908,-0.656251,353.0,397.0,411.0,368.0,902.0,871.0,881.0,917.0,23,1,1,2
37,247.555526,512.695899,2.125104,252.0,263.0,244.0,232.0,494.0,500.0,532.0,525.0,1,1,0,2
37,272.995604,590.512609,-0.961136,278.0,290.0,266.0,258.0,571.0,578.0,609.0,603.0,1,1,0,2
37,265.2251,232.715555,-1.57079,256.0,273.0,274.0,256.0,217.0,216.0,249.0,249.0,5,1,0,2
38,182.082521,34.367914,1.91775,183.0,198.0,182.0,166.0,8.0,14.0,60.0,55.0,11,1,0,3
38,957.3146,522.5126,-2.8,941.0,978.0,974.0,936.0,508.0,523.0,536.0,523.0,1,1,0,3
38,969.946,487.081,-2.8,952.0,991.0,988.0,948.0,473.0,487.0,501.0,487.0,1,1,0,3
38,211.647997,131.227942,-1.262744,208.0,226.0,213.0,200.0,113.0,116.0,151.0,144.0,1,1,0,3
38,690.850497,37.786764,0.271683,658.0,729.0,723.0,654.0,19.0,39.0,56.0,37.0,5,1,0,3
38,566.355639,277.761922,0.014924,549.0,583.0,583.0,550.0,272.0,272.0,284.0,283.0,1,1,0,3
38,216.62952,217.233553,-2.838708,202.0,235.0,230.0,199.0,205.0,217.0,228.0,220.0,1,1,0,3
38,838.403952,887.564819,-2.879473,820.0,862.0,856.0,816.0,875.0,887.0,899.0,889.0,11,1,0,3
38,933.057601,822.697283,1.885301,933.0,947.0,936.0,917.0,799.0,805.0,847.0,840.0,11,1,0,3
38,736.242097,929.301604,0.179853,716.0,757.0,754.0,718.0,921.0,926.0,940.0,931.0,11,1,0,3
40,290.153405,377.066342,3.078386,268.0,309.0,311.0,273.0,371.0,367.0,385.0,386.0,1,1,0,1
40,291.93812,422.241948,3.069429,270.0,312.0,313.0,272.0,416.0,414.0,427.0,431.0,1,1,0,1
41,62.851038,308.408738,1.457645,48.0,70.0,78.0,55.0,277.0,274.0,340.0,343.0,5,1,0,9
41,72.581169,357.754399,0.624023,64.0,88.0,82.0,56.0,344.0,363.0,370.0,353.0,23,1,1,9
41,914.112863,101.574212,0.039979,933.0,933.0,896.0,895.0,95.0,110.0,109.0,93.0,11,1,0,9
41,967.727867,94.624118,-0.117109,988.0,990.0,948.0,945.0,84.0,100.0,103.0,91.0,9,1,0,9
41,996.421823,42.299846,0.0,1017.0,1017.0,976.0,975.0,34.0,51.0,49.0,36.0,1,1,0,9
41,334.991716,608.757439,2.413823,345.0,353.0,325.0,318.0,591.0,602.0,627.0,615.0,1,1,0,9
41,406.466706,934.343147,-1.620755,397.0,414.0,415.0,400.0,915.0,914.0,955.0,954.0,1,1,0,9
41,412.771381,997.862748,-1.675673,402.0,420.0,422.0,408.0,979.0,979.0,1017.0,1017.0,11,1,0,9
42,850.041631,141.727854,1.310194,833.0,857.0,868.0,842.0,126.0,120.0,159.0,162.0,4,1,0,3
42,793.381824,156.422336,1.475845,806.0,778.0,780.0,810.0,139.0,142.0,173.0,171.0,4,1,0,3
43,66.309593,765.557035,1.424638,45.0,73.0,92.0,55.0,717.0,715.0,814.0,815.0,10,1,0,3
43,108.819158,756.054897,1.394562,85.0,119.0,130.0,100.0,721.0,718.0,792.0,793.0,10,1,0,3
43,307.177228,467.205222,1.396895,293.0,315.0,323.0,298.0,450.0,448.0,486.0,486.0,10,1,0,3
43,730.688541,159.702486,1.470415,705.0,750.0,759.0,710.0,128.0,122.0,191.0,198.0,31,1,0,3
43,463.808485,613.054633,0.197396,444.0,486.0,482.0,444.0,601.0,609.0,625.0,617.0,1,1,0,3
43,446.137842,747.251493,0.609163,428.0,472.0,464.0,422.0,725.0,755.0,769.0,739.0,2,1,0,3
43,456.973613,666.566673,3.02323,407.0,500.0,506.0,414.0,645.0,631.0,691.0,699.0,31,1,0,3
43,520.321199,710.409871,0.0,482.0,556.0,560.0,483.0,680.0,679.0,742.0,741.0,31,1,0,3
43,567.331776,661.23214,2.990847,524.0,602.0,612.0,532.0,641.0,623.0,687.0,693.0,31,1,0,3
43,630.345954,695.073087,-0.045945,588.0,672.0,676.0,586.0,665.0,665.0,721.0,729.0,31,1,0,3
43,680.357206,647.729102,2.892442,630.0,717.0,728.0,646.0,630.0,605.0,669.0,687.0,31,1,0,3
43,737.416403,684.907268,-0.057408,690.0,778.0,784.0,698.0,655.0,650.0,715.0,720.0,31,1,0,3
43,785.593909,624.727061,3.028976,736.0,824.0,831.0,751.0,595.0,583.0,657.0,664.0,31,1,0,3
43,831.749525,1017.226305,3.108925,791.0,869.0,871.0,796.0,994.0,988.0,1044.0,1043.0,31,0,1,3
44,138.005202,36.166113,0.285463,117.0,163.0,159.0,113.0,22.0,35.0,51.0,37.0,1,1,0,3
44,251.745245,401.249956,-0.351445,271.0,278.0,233.0,226.0,386.0,400.0,416.0,403.0,11,1,0,3
44,274.625393,442.972578,2.834547,292.0,298.0,260.0,248.0,429.0,444.0,459.0,440.0,1,1,0,3
44,461.031303,368.724255,3.116598,438.0,482.0,480.0,444.0,362.0,362.0,375.0,377.0,11,1,0,3
44,508.810436,369.621516,3.128606,489.0,528.0,528.0,490.0,363.0,362.0,377.0,377.0,1,1,0,3
44,646.324393,-3.761988,-1.570796,637.0,655.0,655.0,637.0,-25.0,-26.0,18.0,18.0,11,0,1,3
44,851.572778,45.58735,0.030294,827.0,875.0,878.0,827.0,37.0,37.0,56.0,53.0,11,1,0,3
44,844.394693,196.102833,1.332552,847.0,856.0,841.0,833.0,176.0,212.0,215.0,181.0,1,1,0,3
44,866.601895,212.926471,1.550181,858.0,874.0,875.0,859.0,189.0,188.0,238.0,236.0,11,1,0,3
44,837.665237,253.751833,-1.596001,826.0,848.0,851.0,826.0,225.0,223.0,284.0,283.0,23,1,1,3
44,866.37758,276.631981,1.514676,854.0,876.0,878.0,857.0,255.0,254.0,302.0,296.0,5,1,1,3
44,602.444539,629.234612,2.775672,571.0,625.0,633.0,580.0,630.0,608.0,630.0,649.0,23,1,1,3
44,618.146601,649.647293,-0.394791,594.0,635.0,643.0,600.0,653.0,634.0,648.0,664.0,11,1,0,3
44,670.412037,818.332304,-0.378142,647.0,684.0,694.0,658.0,820.0,803.0,819.0,831.0,1,1,0,3
44,731.874395,795.003526,2.767866,700.0,753.0,762.0,713.0,797.0,774.0,796.0,813.0,23,1,1,3
44,723.574733,843.904234,2.785957,702.0,737.0,745.0,710.0,844.0,830.0,845.0,857.0,1,1,1,3
44,24.501724,644.790103,-1.777332,10.0,28.0,41.0,19.0,624.0,613.0,670.0,672.0,11,1,0,3
45,306.934141,373.034798,-3.141592,279.0,331.0,330.0,288.0,363.0,363.0,383.0,383.0,23,1,1,8
45,300.927888,396.579311,0.013698,264.0,338.0,336.0,264.0,386.0,386.0,408.0,406.0,5,1,0,8
45,159.66081,425.649577,-0.173901,140.0,178.0,178.0,142.0,423.0,413.0,432.0,435.0,1,1,0,8
45,154.135057,468.654351,0.053283,136.0,174.0,172.0,135.0,460.0,461.0,478.0,475.0,1,1,0,8
45,928.159697,145.585322,-0.501604,939.0,948.0,914.0,911.0,129.0,145.0,160.0,148.0,1,1,1,8
45,904.374934,357.005439,-2.843094,889.0,926.0,922.0,881.0,345.0,355.0,371.0,357.0,11,1,1,8
45,924.075444,576.134639,1.782754,921.0,936.0,928.0,912.0,554.0,559.0,597.0,595.0,1,1,0,8
45,461.900556,683.825312,1.597106,455.0,470.0,470.0,453.0,665.0,665.0,704.0,702.0,1,1,0,8
45,500.100327,743.407345,-1.590025,490.0,509.0,510.0,491.0,717.0,717.0,769.0,769.0,11,1,0,8
45,461.660306,907.498185,1.550597,453.0,469.0,471.0,453.0,883.0,883.0,933.0,932.0,11,1,0,8
45,978.852475,906.056684,0.0,959.0,998.0,999.0,960.0,898.0,897.0,915.0,914.0,1,1,0,8
45,985.098978,989.663731,0.075613,970.0,1001.0,1002.0,967.0,980.0,984.0,998.0,997.0,1,1,0,8
46,887.721575,238.774225,3.120762,862.0,912.0,911.0,865.0,232.0,229.0,247.0,246.0,2,1,0,3
46,946.844801,226.598104,-3.075754,924.0,970.0,969.0,924.0,218.0,220.0,236.0,232.0,11,1,0,3
46,968.138368,81.967036,-1.748392,957.0,972.0,980.0,963.0,64.0,61.0,100.0,103.0,1,1,0,3
46,1002.281717,197.326367,1.387686,992.0,1008.0,1015.0,995.0,186.0,182.0,211.0,211.0,10,1,0,3
47,439.186864,187.774421,3.060376,417.0,459.0,463.0,419.0,182.0,177.0,195.0,197.0,1,1,0,9
47,154.271742,209.34879,-2.970444,133.0,177.0,172.0,135.0,198.0,204.0,222.0,214.0,11,1,0,9
47,153.382077,230.478327,-3.085314,136.0,173.0,169.0,135.0,223.0,226.0,237.0,236.0,23,1,1,9
47,441.974433,571.934957,3.079942,422.0,462.0,463.0,422.0,565.0,563.0,578.0,581.0,1,1,0,9
47,525.825332,716.283055,1.518213,516.0,534.0,535.0,519.0,697.0,698.0,737.0,734.0,1,1,0,9
47,439.083023,809.475433,3.033903,420.0,456.0,459.0,421.0,804.0,801.0,814.0,819.0,1,1,0,9
48,605.619442,252.753648,2.750467,577.0,624.0,636.0,586.0,256.0,236.0,249.0,269.0,11,1,0,
48,779.00404,132.138275,-0.419477,760.0,796.0,799.0,761.0,135.0,115.0,133.0,146.0,1,1,0,
48,877.040352,101.257964,-0.386506,851.0,896.0,901.0,860.0,101.0,85.0,100.0,119.0,5,1,0,
48,863.802079,762.852038,-0.566729,876.0,885.0,853.0,842.0,746.0,759.0,779.0,768.0,1,1,0,
48,895.426842,791.351097,-0.99713,902.0,910.0,890.0,880.0,774.0,776.0,811.0,804.0,1,1,0,
48,779.775821,770.574364,2.606998,795.0,803.0,767.0,755.0,754.0,765.0,789.0,775.0,1,1,0,
48,470.796443,486.681809,-1.974078,470.0,488.0,470.0,456.0,463.0,501.0,510.0,473.0,11,1,0,
48,499.663232,483.372241,-2.086722,496.0,515.0,503.0,484.0,462.0,496.0,504.0,471.0,1,1,0,
48,457.006576,406.884444,1.145174,451.0,485.0,463.0,429.0,363.0,441.0,448.0,376.0,5,1,0,
49,253.420876,128.669769,-2.346486,248.0,272.0,260.0,233.0,111.0,136.0,147.0,120.0,1,1,0,8
49,210.175852,176.419482,-2.226492,208.0,228.0,212.0,192.0,159.0,185.0,194.0,168.0,1,1,0,8
49,237.489763,347.368032,2.530867,217.0,223.0,259.0,251.0,355.0,364.0,340.0,330.0,11,1,0,8
49,353.715453,360.340183,0.75448,346.0,370.0,362.0,336.0,344.0,368.0,376.0,353.0,1,1,0,8
49,701.357292,65.547723,0.648996,690.0,720.0,712.0,684.0,50.0,71.0,82.0,59.0,1,1,0,8
49,713.790237,192.399794,2.191046,721.0,732.0,711.0,692.0,173.0,177.0,214.0,206.0,11,1,0,8
49,689.601706,647.684255,-2.287338,682.0,708.0,698.0,670.0,628.0,659.0,667.0,636.0,1,1,0,8
49,801.318017,657.77476,2.224879,808.0,818.0,797.0,783.0,639.0,646.0,677.0,668.0,1,1,0,8
49,725.639226,719.038544,2.714965,742.0,748.0,710.0,703.0,704.0,716.0,734.0,721.0,11,1,0,8
49,550.725035,580.817709,1.321022,534.0,555.0,567.0,547.0,558.0,555.0,605.0,606.0,5,1,0,8
49,563.518354,673.253948,1.509896,555.0,570.0,578.0,552.0,654.0,652.0,695.0,693.0,11,1,0,8
49,519.732768,673.07376,1.256564,505.0,521.0,534.0,518.0,656.0,650.0,690.0,696.0,9,1,0,8
49,282.964648,572.029527,-1.371637,277.0,300.0,284.0,271.0,543.0,546.0,602.0,596.0,5,1,0,8
49,253.233694,671.853457,-1.368771,249.0,266.0,257.0,241.0,651.0,651.0,693.0,692.0,11,1,0,8
49,196.09829,894.404553,1.608279,190.0,203.0,203.0,187.0,874.0,875.0,914.0,915.0,11,1,0,8
50,74.288661,339.279654,0.014924,57.0,91.0,91.0,58.0,332.0,333.0,346.0,346.0,1,1,0,9
50,586.10443,14.625727,3.062214,566.0,608.0,608.0,562.0,9.0,6.0,20.0,24.0,1,1,0,9
50,645.348151,206.271787,1.666885,635.0,659.0,651.0,635.0,185.0,186.0,229.0,225.0,1,1,0,9
50,768.684725,200.790162,-0.010416,743.0,791.0,794.0,746.0,192.0,191.0,210.0,210.0,11,1,0,9
50,775.009677,145.13058,-3.129688,754.0,796.0,795.0,756.0,138.0,135.0,155.0,153.0,1,1,0,9
50,572.611198,303.886887,0.011904,595.0,592.0,551.0,552.0,296.0,312.0,313.0,294.0,1,1,0,9
50,773.745631,230.085464,-0.025635,745.0,802.0,804.0,744.0,222.0,219.0,240.0,240.0,5,1,0,9
50,764.679865,291.437503,0.0,737.0,793.0,793.0,736.0,279.0,280.0,303.0,304.0,5,1,0,9
50,372.699662,470.105444,-1.608514,363.0,381.0,384.0,364.0,444.0,444.0,497.0,497.0,11,1,0,9
50,368.272195,361.948756,1.556811,355.0,381.0,379.0,359.0,326.0,326.0,399.0,396.0,5,1,0,9
51,91.499641,54.512152,-3.117501,70.0,112.0,112.0,71.0,44.0,45.0,65.0,64.0,23,1,0,4
51,751.402072,181.798144,1.553099,739.0,763.0,764.0,740.0,154.0,153.0,209.0,211.0,23,1,1,4
51,940.701734,408.126291,3.141592,922.0,959.0,959.0,923.0,400.0,400.0,416.0,416.0,1,1,0,4
51,993.721016,323.533728,-1.558139,987.0,1001.0,1002.0,985.0,304.0,303.0,344.0,342.0,1,1,0,4
51,986.175201,223.849536,-1.529154,978.0,996.0,995.0,976.0,206.0,206.0,242.0,242.0,5,1,1,4
51,839.627523,563.629092,1.582424,833.0,847.0,848.0,831.0,542.0,542.0,585.0,585.0,11,1,0,4
51,973.466459,548.140314,1.641103,984.0,993.0,963.0,954.0,533.0,541.0,565.0,554.0,1,1,0,4
51,834.663171,686.745028,-1.50049,831.0,841.0,841.0,826.0,669.0,669.0,704.0,705.0,1,1,0,4
51,501.498461,663.06242,-1.138389,505.0,528.0,496.0,477.0,626.0,635.0,699.0,692.0,5,1,0,4
51,361.045374,913.29851,-0.933903,368.0,381.0,353.0,342.0,891.0,899.0,937.0,926.0,11,1,0,4
52,236.893873,178.075492,1.319106,239.0,257.0,235.0,217.0,141.0,212.0,214.0,145.0,5,1,0,5
52,338.56871,220.091073,2.437647,348.0,356.0,329.0,322.0,204.0,213.0,236.0,226.0,1,1,0,5
52,761.107405,583.5763,1.149806,761.0,776.0,761.0,746.0,564.0,598.0,603.0,570.0,1,1,0,5
52,869.175838,723.600451,-1.963136,869.0,885.0,871.0,851.0,699.0,744.0,747.0,705.0,11,1,0,5
52,401.270153,480.468383,2.622447,416.0,425.0,388.0,376.0,461.0,478.0,497.0,486.0,23,1,1,5
52,150.6118,677.523851,-2.165556,144.0,169.0,155.0,134.0,657.0,690.0,699.0,664.0,1,1,0,5
52,172.690297,666.484603,-2.539305,164.0,188.0,181.0,157.0,652.0,671.0,679.0,665.0,1,1,0,5
